,model,model_type,features_included,alpha,q_squared
3,Lasso(alpha=0.015221780538276906),Lasso,Task Complexity,0.0152,0.09064417087175691
2,Ridge(alpha=0.015221780538276906),Ridge,Task Complexity,0.0152,0.08534322068576272
5,Lasso(alpha=0.07798923543171535),Lasso,Team Composition + Task Complexity,0.078,0.0797981003305488
1,Lasso(alpha=0.12329758059464363),Lasso,Team Composition,0.1233,0.018478340415914007
4,Ridge(alpha=0.07798923543171535),Ridge,Team Composition + Task Complexity,0.078,0.005786085346806469
6,Lasso(alpha=0.5963799259164627),Lasso,Communication,0.5964,0.001189046454768361
8,Lasso(alpha=0.5963799259164627),Lasso,Task Complexity + Communication,0.5964,0.001189046454768361
10,Lasso(alpha=0.5963799259164627),Lasso,All Features,0.5964,0.001189046454768361
0,Ridge(alpha=0.12329758059464363),Ridge,Team Composition,0.1233,-0.07941083832242946
11,Ridge(alpha=0.5963799259164627),Ridge,All Features,0.5964,-0.6972043851704297
9,Ridge(alpha=0.5963799259164627),Ridge,Task Complexity + Communication,0.5964,-0.7221875805761997
7,Ridge(alpha=0.5963799259164627),Ridge,Communication,0.5964,-0.7558466043859509
